分类,菜名,价格,单位,POS写法(多个用|分隔)
招牌熏鹅·白切鹅,招牌熏鹅半只,289,半只,招牌熏鹅半只|去骨烟熏鹅(半只)|去骨烟熏鹅（半只）
招牌熏鹅·白切鹅,招牌熏鹅前半段(大份),159,大份,招牌熏鹅前半段(大份)|去骨烟熏鹅前半段(大份)|去骨烟熏鹅前半段（大份）
招牌熏鹅·白切鹅,招牌熏鹅前半段(小份),89,小份,招牌熏鹅前半段(小份)|去骨烟熏鹅前半段(小份)|去骨烟熏鹅前半段（小份）
招牌熏鹅·白切鹅,招牌熏鹅后半段(大份),159,大份,招牌熏鹅后半段(大份)|去骨烟熏鹅后半段(大份)|去骨烟熏鹅后半段（大份）
招牌熏鹅·白切鹅,招牌熏鹅后半段(小份),89,小份,招牌熏鹅后半段(小份)|去骨烟熏鹅后半段(小份)|去骨烟熏鹅后半段（小份）
招牌熏鹅·白切鹅,白切鹅半只,289,半只,白切鹅半只|去骨白切鹅(半只)|去骨白切鹅（半只）
招牌熏鹅·白切鹅,白切鹅前半段(大份),159,大份,白切鹅前半段(大份)|去骨白切鹅前半段(大份)|去骨白切鹅前半段（大份）
招牌熏鹅·白切鹅,白切鹅前半段(小份),89,小份,白切鹅前半段(小份)|去骨白切鹅前半段(小份)|去骨白切鹅前半段（小份）
招牌熏鹅·白切鹅,白切鹅后半段(大份),159,大份,白切鹅后半段(大份)|去骨白切鹅后半段(大份)|去骨白切鹅后半段（大份）
招牌熏鹅·白切鹅,白切鹅后半段(小份),89,小份,白切鹅后半段(小份)|去骨白切鹅后半段(小份)|去骨白切鹅后半段（小份）
12元精选卤味,,,,
特色卤味,,,,
麻辣卤味,,,,
川汤类,季节时蔬,49,份,季节时蔬
川汤类,韭菜下水,69,份,韭菜下水
川汤类,卤肉时蔬,59,份,卤肉时蔬
川汤类,酱拌下水,69,份,酱拌下水
凉菜,花雕醉香鲍鱼,59,份,花雕醉香鲍鱼
凉菜,蜂蜜柚子白凉瓜,49,份,蜂蜜柚子白凉瓜
凉菜,肉松皮蛋豆腐,49,份,肉松皮蛋豆腐
凉菜,樱花虾麻酱A菜,39,份,樱花虾麻酱A菜
凉菜,台湾水果白玉粟米,39,份,台湾水果白玉粟米|台湾水果白玉栗米
"香肠,炸物",鹅油盐酥鸡,49,份,鹅油盐酥鸡
"香肠,炸物",鹅油盐酥蚵仔,49,份,鹅油盐酥蚵仔
手作系列,,,,
汤类,药膳鹅掌炖汤,49,份,药膳鹅掌炖汤
汤类,虾皮紫菜鹅丸汤,39,份,虾皮紫菜鹅丸汤
汤类,山药鹅骨汤,29,份,山药鹅骨汤
宝岛风味(晚市限定),台湾一品煲(鹅肠/麻辣血/臭豆腐/桂竹笋/韭菜),139,份,台湾一品煲
宝岛风味(晚市限定),药膳虾,129,份,药膳虾
饭类,鹅油拌饭,29,份,鹅油拌饭|鹅油饭
饭类,白饭,19,份,白饭|白米饭
面类,XO酱拌面线,49,份,XO酱拌面线|XO酱面线
面类,汤米粉,39,份,汤米粉|鹅汤米粉
面类,汤面线,39,份,汤面线|鹅汤面线
面类,汤冬粉,39,份,汤冬粉|鹅汤冬粉
饮品,桂花乌龙(1L),29,瓶,桂花乌龙(1L)|桂花乌龙 1L
饮品,蜜香红茶(1L),29,瓶,蜜香红茶(1L)|蜜香红茶 1L
饮品,茉莉绿茶(1L),29,瓶,茉莉绿茶(1L)|茉莉绿茶 1L
饮品,白桃四季春(1L),29,瓶,白桃四季春(1L)|白桃四季春茶 1L
饮品,苹果西打(罐装),19,罐,苹果西打|苹果西打(罐装)
饮品,黑松沙士(罐装),19,罐,黑松沙士(罐装)|铁罐黑松沙士
