分类,菜名,价格,单位,POS写法(多个用|分隔)
自選靚湯米線(基礎),白濃雞湯米線(基礎) ¥49,49,碗,自選靚湯米線
自選-湯底加價,鮮蝦濃湯 (加價+$9),9,+$9,鮮蝦濃湯（不能酸辣）
自選-湯底加價,乳山生蠔湯 (加價+$9),9,+$9,乳山生蠔湯（不能酸辣）
自選-湯底加價,南瓜濃雞湯 (加價+$9),9,+$9,南瓜濃雞湯（不能酸辣）
自選-湯底加價,花膠太史五蛇羹 (加價+$99),99,+$99,花膠太史五蛇羹（不能酸辣）
自選-湯底加價,白濃雞湯 (基礎湯底),0,基礎,白濃雞湯
自選菜式(加料),蘿蔔 (+$6),6,+$6,蘿蔔
自選菜式(加料),通菜 (+$6),6,+$6,通菜
自選菜式(加料),腐竹 (+$6),6,+$6,腐竹
自選菜式(加料),老豆腐 (+$6),6,+$6,老豆腐
自選菜式(加料),金菇 (+$6),6,+$6,金菇
自選菜式(加料),冬菇 (+$6),6,+$6,冬菇
自選菜式(加料),紹菜 (+$6),6,+$6,紹菜
自選菜式(加料),豆卜 (+$6),6,+$6,豆卜
自選菜式(加料),芽菜 (+$6),6,+$6,芽菜
自選菜式(加料),蟲草花 (+$6),6,+$6,蟲草花
自選菜式(加料),酸菜 (+$6),6,+$6,酸菜
自選菜式(加料),韭菜 (+$6),6,+$6,韭菜
自選菜式(加料),蟹柳 (+$6),6,+$6,蟹柳
自選菜式(加料),鯛魚片 (+$9),9,+$9,鯛魚片
自選菜式(加料),豬頸肉 (+$9),9,+$9,豬頸肉
自選菜式(加料),手撕雞肉 (+$9),9,+$9,手撕雞肉
自選菜式(加料),魚腐 (+$9),9,+$9,魚腐
自選菜式(加料),牛柏葉 (+$9),9,+$9,牛柏葉
自選菜式(加料),魚肚 (+$9),9,+$9,魚肚
自選菜式(加料),墨魚咀 (+$9),9,+$9,墨魚咀
自選菜式(加料),魚蛋 (+$9),9,+$9,魚蛋
自選菜式(加料),香菇貢丸 (+$9),9,+$9,香菇貢丸
