分类,菜名,价格,单位,POS写法(多个用|分隔)
前菜-凍菜,蜜汁魚酥西瓜,38,份,
前菜-凍菜,雞蛋沙律,58,份,
前菜-凍菜,西米肉末,68,份,
前菜-凍菜,大蝦木瓜沙律,88,份,
前菜-凍菜,香辣魷魚,88,份,
前菜-凍菜,泰式生蝦(8隻),88,份,
前菜-熱菜,泰式蝦醬多士,68,份,
前菜-熱菜,泰式豬肉碎,78,份,
前菜-熱菜,蛤蜊鍋,88,份,
前菜-熱菜,泰式燒豬頸肉,88,份,
前菜-熱菜,泰式蟹餅,88,份,
前菜-熱菜,泰式蝦餅,88,份,
湯,泰式街頭雜菌素菇湯,58,份,
湯,泰式冬蔭功湯,68,份,
泰式合菜,泰式豬腳(大份),198,份,
泰式合菜,火山骨(3-4人),188,份,
泰式合菜,燒牛肋骨配泰式沙律,288,份,
泰式合菜,泰式海南雞(半隻),188,份,
泰式合菜,香茅燒雞(1隻),248,份,
泰式合菜,泰式冬蔭蝦頭膏蟹肉奄列,168,份,
泰式合菜,香炸鱸魚配芒果沙律(3-4人),228,份,
泰式煲仔,無骨鴨掌煲仔粉絲,108,份,
泰式煲仔,羅氏蝦煲仔粉絲,148,份,
泰式咖喱,綠咖喱雜菜,128,份,
泰式咖喱,紅咖喱牛面頰肉,148,份,
泰式咖喱,黃咖喱蟹肉,198,份,
泰式咖喱,三色咖喱,268,份,
泰式小炒,九層塔炒牛柳,128,份,
泰式小炒,九層塔炒大蜆,148,份,
泰式小炒,九層塔炒海鮮,168,份,
主食鑊,雙蛋打抛飯(2-3人),108,份,
主食鑊,雜菜炒貴刁(2-3人),128,份,
主食鑊,豬頸肉炒飯(2-3人),148,份,
主食鑊,牛柳炒貴刁(2-3人),188,份,
主食鑊,泰式羅氏蝦炒金邊粉(2-3人),188,份,
主食鑊,海鮮炒闊河粉(2-3人),198,份,
主食鑊,蟹肉炒飯(2-3人),198,份,
蔬菜,泰式魚露炒卷心菜,88,份,
蔬菜,泰式炒通菜,88,份,
蔬菜,蒜香西蘭花苗,88,份,
蔬菜,泰式鹹魚肉碎湯雜菜煲,98,份,
泰式燒烤(晚市),蔬菜串燒,18,份,
泰式燒烤(晚市),烤秋葵佐辣椒豆醬,18,份,
泰式燒烤(晚市),烤糯米飯配雞蛋,18,份,
泰式燒烤(晚市),蒜烤茄子,18,份,
泰式燒烤(晚市),免治雞肉雞軟骨,24,份,
泰式燒烤(晚市),烤雞全翼,24,份,
泰式燒烤(晚市),烤京蔥雞腿肉,24,份,
泰式燒烤(晚市),烤豬頸肉,24,份,
泰式燒烤(晚市),烤豬肉碎釀青椒,24,份,
泰式燒烤(晚市),烤免治豬肉,24,份,
泰式燒烤(晚市),烤牛柳,28,份,
泰式燒烤(晚市),烤小魷魚,28,份,
泰式燒烤(晚市),烤鰻魚,28,份,
泰式燒烤(晚市),多春魚,28,份,
泰式燒烤(晚市),香茅烤蝦餅,38,份,
泰式燒烤(晚市),沙爹烤蝦串,38,份,
泰式燒烤(晚市),烤原隻生蠔,38,份,
泰式燒烤(晚市),烤原隻鮑魚,38,份,
泰式燒烤(晚市),烤原隻帶子,38,份,
泰式火鍋-湯底(晚市),船麵湯,58,份,
泰式火鍋-湯底(晚市),泰式冬蔭功湯,58,份,
泰式火鍋-湯底(晚市),泰式椰奶雞湯,58,份,
泰式火鍋-湯底(晚市),泰式豬肉湯,58,份,
泰式火鍋-湯底(晚市),礦泉水,28,份,
火鍋套餐,高級豪華混合套餐,298,份,
火鍋套餐,海鮮套餐,228,份,
火鍋套餐,蔬菜套餐,78,份,
火鍋套餐,日式豬潤肉套餐(150g),128,份,
火鍋套餐,日式豬潤肉套餐(250g),168,份,
火鍋套餐,牛五花肉套餐(150g),138,份,
火鍋套餐,牛五花肉套餐(250g),188,份,
火鍋套餐,美國牛肩胛肉套餐(150g),148,份,
火鍋套餐,美國牛肩胛肉套餐(250g),198,份,
火鍋套餐,美國牛板腱肉套餐(150g),148,份,
火鍋套餐,美國牛板腱肉套餐(250g),198,份,
火鍋套餐,日式和牛肩胛肉套餐(150g),298,份,
火鍋套餐,日式和牛肩胛肉套餐(250g),398,份,
火鍋-肉類追加,豬肉丸(5粒),38,份,
火鍋-肉類追加,牛肉丸(5粒),38,份,
火鍋-肉類追加,日本豬潤肉(50g),38,份,
火鍋-肉類追加,日本豬潤肉(100g),78,份,
火鍋-肉類追加,牛五花(50g),48,份,
火鍋-肉類追加,牛五花(100g),88,份,
火鍋-肉類追加,美國牛肩胛肉(50g),68,份,
火鍋-肉類追加,美國牛肩胛肉(100g),98,份,
火鍋-肉類追加,牛舌(50g),78,份,
火鍋-肉類追加,牛舌(100g),108,份,
火鍋-肉類追加,美國牛板腱肉(50g),88,份,
火鍋-肉類追加,美國牛板腱肉(100g),118,份,
火鍋-肉類追加,日式和牛肩胛肉(50g),128,份,
火鍋-肉類追加,日式和牛肩胛肉(100g),228,份,
火鍋-海鮮追加,魚丸(5粒),38,份,
火鍋-海鮮追加,脆炸鮮蝦魚卷,38,份,
火鍋-海鮮追加,生蠔,38,份,
火鍋-海鮮追加,鮑魚,38,份,
火鍋-海鮮追加,扇貝,48,份,
火鍋-海鮮追加,虎蝦(2隻),48,份,
火鍋-蔬菜追加,雞蛋,8,份,
火鍋-蔬菜追加,豆腐,18,份,
火鍋-蔬菜追加,粟米筍,18,份,
火鍋-蔬菜追加,靈芝菇,18,份,
火鍋-蔬菜追加,秀珍菇,18,份,
火鍋-蔬菜追加,生菜,18,份,
火鍋-蔬菜追加,卷心菜,18,份,
火鍋-蔬菜追加,卷心菜絲,18,份,
火鍋-主食追加,粉絲,18,份,
火鍋-主食追加,米粉,18,份,
火鍋-主食追加,河粉,18,份,
火鍋-主食追加,金邊粉,18,份,
火鍋-主食追加,白飯(碗),16,碗,
火鍋-主食追加,白飯(煲),48,煲,
火鍋-主食追加,雞油飯(碗),24,碗,
火鍋-主食追加,雞油飯(煲),68,煲,
隆源咖啡,青檸梳打水,18,杯,
隆源咖啡,泰式奶茶(熱/凍),28,杯,
隆源咖啡,泰式牛奶咖啡(熱/凍),28,杯,
隆源咖啡,可可(熱/凍),28,杯,
隆源咖啡,龍眼冰,28,杯,
隆源咖啡,菊花冰,28,杯,
隆源咖啡,蜂蜜檸檬水(熱/凍),28,杯,
隆源咖啡,泰式手打檸檬茶,34,杯,
隆源咖啡,泰式椰奶咖啡(熱/凍),34,杯,
隆源咖啡,香茅青檸冰沙,48,杯,
隆源咖啡,芒果冰沙,48,杯,
隆源咖啡,鮮椰子水,48,杯,
酒水,紅葡萄酒(杯),58,杯,
酒水,紅葡萄酒(樽),296,樽,
酒水,白葡萄酒(杯),58,杯,
酒水,白葡萄酒(樽),296,樽,
酒水,泰象啤酒(樽),28,樽,
酒水,泰象生啤(半品脫),38,杯,
酒水,泰象生啤(品脫),68,杯,
酒水,泰象生啤(3L),268,塔,
甜品,雙芒椰奶西米冰,58,份,
甜品,泰式椰奶湯圓,58,份,
甜品,串燒烤麵包,78,份,
甜品,芒果糯米飯,78,份,
甜品,泰式香蕉煎餅,88,份,
甜品,棉花糖朱古力串燒雞蛋仔,88,份,
