分类,菜名,价格,单位,POS写法(多个用|分隔)
前菜/小食,新加坡娘惹葛小金杯,38,份,新加坡娘惹葛小金杯|新加坡娘惹小金杯
前菜/小食,鱿鱼芽菜,48,份,鱿鱼芽菜|鱿 鱼 芽 菜
前菜/小食,墨鱼胶虾多士伴黑松露酱,38,份,墨鱼胶虾多士伴黑松露酱|黑松露墨鱼虾多士（新）|黑松露虾多士
前菜/小食,酥脆虾片,28,份,酥脆虾片|酥脆炸虾片|虾片|鲜虾片
汤品系列,新加坡正宗古法肉骨茶(中份),88,中份,新加坡正宗古法肉骨茶(中份)|新加坡正宗古法肉骨茶|【经典】古法肉骨茶（新加坡菜系必尝）|新加坡（牛）肉骨茶|古法肉骨茶|古法猪肉骨茶|新加坡（猪）肉骨茶
汤品系列,新加坡正宗古法肉骨茶(大份),128,大份,新加坡正宗古法肉骨茶(大份)|新加坡古法肉骨茶（大份）
汤品系列,火焰椰子八宝汤,89,份,火焰椰子八宝汤|椰子八宝炖鸡|火焰椰子八宝炖鸡
猪肉&牛肉系列,火焰慢煮黑金叉烧,58,份,火焰慢煮黑金叉烧|迷迭香火焰黑金叉烧
猪肉&牛肉系列,火焰石烧猪颈肉,58,份,火焰石烧猪颈肉
猪肉&牛肉系列,黑磨豉酱炆牛筋牛腩,98,份,黑磨豉酱炆牛筋牛腩|老街坊黑磨䜴牛筋牛腩|【值得一试】老街坊黑磨鼓牛筋牛腩（港式经典）|老街坊黑磨鼓牛筋牛腩
猪肉&牛肉系列,慢煮牛脸颊伴黄咖喱,108,份,慢煮牛脸颊伴黄咖喱|黄咖喱牛脸颊肉
鸡肉系列,天天海南鸡拼烧鸡(中份),128,中份,天天海南鸡拼烧鸡(中份)|天天海南鸡拼烧鸡(中份）|天天海南鸡拼烧鸡|海南鸡拼烧鸡
鸡肉系列,天天海南鸡拼烧鸡(大份),188,大份,天天海南鸡拼烧鸡(大份)|天天海南鸡拼烧鸡（大份）
鸡肉系列,天天海南鸡(中份),108,中份,天天海南鸡(中份)|天天海南鸡|米其林天天海南鸡
鸡肉系列,天天海南鸡(大份),178,大份,天天海南鸡(大份)
鸡肉系列,天天脆皮烧鸡(中份),108,中份,天天脆皮烧鸡(中份)|天天烧鸡|米其林天天烧鸡
鸡肉系列,天天脆皮烧鸡(大份),178,大份,天天脆皮烧鸡(大份)
海鲜系列,蒜香酥炸鲳鱼伴秘制辣椒酱,128,份,蒜香酥炸鲳鱼伴秘制辣椒酱|蒜香酥炸鲳鱼
海鲜系列,斑斓椰奶酥炸鳕鱼,48,份,斑斓椰奶酥炸鳕鱼|斑斓椰奶鳕鱼|椰奶鳕鱼|斑斓椰奶鳕鱼（一份）|椰奶鳕鱼（一份）
海鲜系列,海鲜泰式冬阴功,128,份,海鲜泰式冬阴功|海鲜冬阴功汤
海鲜系列,娘惹咖喱炒大头罗氏虾,148,份,娘惹咖喱炒大头罗氏虾|娘惹咖喱大头罗氏虾
海鲜系列,狮城黑胡椒炒大头罗氏虾,148,份,狮城黑胡椒炒大头罗氏虾
海鲜系列,娘惹咖喱炒鲜活青蟹,368,份,娘惹咖喱炒鲜活青蟹|娘惹咖喱炒鲜活青蟹（一只）
海鲜系列,狮城黑胡椒炒鲜活青蟹,368,份,狮城黑胡椒炒鲜活青蟹|狮城 黑胡椒炒鲜活青蟹
蔬菜/蛋/豆腐,参巴酱爆炒通菜,48,份,参巴酱爆炒通菜|参巴辣椒炒通菜
蔬菜/蛋/豆腐,青柠咸鱼炒小芥兰,38,份,青柠咸鱼炒小芥兰|青柠咸鱼炒小芥兰（一份）|青柠咸鱼小芥兰
蔬菜/蛋/豆腐,海南杂菜煲,58,份,海南杂菜煲|豆浆海南杂菜煲
蔬菜/蛋/豆腐,虾膏金汤煨豆腐,58,份,虾膏金汤煨豆腐|虾头膏金汤豆腐|虾头膏金汤豆腐（一份）|虾头膏金汤煨豆腐（一份）|虾头膏金汤炆豆腐
蔬菜/蛋/豆腐,白贝肉沫蒸水蛋,58,份,白贝肉沫蒸水蛋|白贝肉末蒸水蛋|（儿童首选）白贝肉沫蒸水蛋
主食系列,新加坡喇沙海鲜面,68,份,新加坡喇沙海鲜面|新加坡喇沙海鲜粉
主食系列,狮城海鲜炒米粉,78,份,狮城海鲜炒米粉|狮城海鲜炒粉丝
主食系列,白米饭(碗),6,碗,白米饭(碗)|白饭
主食系列,白米饭(煲),24,煲,白米饭(煲)
主食系列,新加坡正宗鸡油饭(碗),10,碗,新加坡正宗鸡油饭(碗)|鸡油饭|招牌鸡油饭
主食系列,新加坡正宗鸡油饭(煲),29,煲,新加坡正宗鸡油饭(煲)
甜品系列,新加坡原味豆腐花,19,份,新加坡原味豆腐花|原味豆腐花
