分类,菜名,价格,单位,POS写法(多个用|分隔)
寿司类,蒲烧鳗鱼手卷,27.8,份,蒲烧鳗鱼手卷|蒲烧鳗鱼手卷·|蒲烧鳗鱼 手卷
寿司类,三文鱼腩寿司,31.7,份,三文鱼腩寿司|三文鱼腩寿 司
寿司类,天妇罗手卷,37.7,份,天妇罗手卷|天妇罗 手卷
寿司类,帆立贝寿司,57.5,份,帆立贝寿司|帆立贝寿司·
寿司类,流心鹅肝手卷,57.5,份,流心鹅肝手卷|流心鹅肝 手卷
寿司类,皇帝蟹棒寿司,19.8,份,皇帝蟹棒寿司|皇帝蟹棒寿司·
寿司类,章红鱼寿司,23.8,份,章红鱼寿司|章红鱼 寿司
寿司类,章红鱼腹寿司,38.0,份,章红鱼腹寿司|章红鱼腹 寿司
寿司类,紫苏纹甲鱿鱼寿司,23.8,份,紫苏纹甲鱿鱼寿司|紫苏纹甲鱿鱼寿司·
寿司类,赤红虾寿司,17.6,份,赤红虾寿司|赤红虾 寿司
寿司类,（儿童之选）炙烤寿司盛（10贯）,197.7,份,（儿童之选）炙烤寿司盛（10贯）
寿司类,三文鱼厚腩寿司,24.2,份,三文鱼厚腩寿司
寿司类,三文鱼寿司,23.8,份,三文鱼寿司
寿司类,三文鱼寿司1,23.9,份,三文鱼寿司1
寿司类,三文鱼寿司12元,11.8,份,三文鱼寿司12元
寿司类,三文鱼籽寿司,47.5,份,三文鱼籽寿司
寿司类,三色花之恋寿司,31.0,份,三色花之恋寿司
寿司类,北极贝寿司,11.9,份,北极贝寿司
寿司类,半熟虎虾,27.7,份,半熟虎虾
寿司类,半熟虎虾寿司,28.0,份,半熟虎虾寿司
寿司类,厚切三文鱼寿司,18.0,份,厚切三文鱼寿司
寿司类,双葱金枪鱼手卷,47.7,份,双葱金枪鱼手卷
寿司类,味付油扬寿司,7.5,份,味付油扬寿司
寿司类,帆立贝寿司1,58.0,份,帆立贝寿司1
寿司类,帆立贝寿司25元,24.8,份,帆立贝寿司25元
寿司类,星鰻手卷,0,份,星鰻手卷
寿司类,星鳗手卷,37.3,份,星鳗手卷
寿司类,星鳗鱼寿司,47.8,份,星鳗鱼寿司
寿司类,枪鱿鱼寿司,58.0,份,枪鱿鱼寿司
寿司类,海胆三色甜筒,195.2,份,海胆三色甜筒
寿司类,海胆寿司,107.5,份,海胆寿司
寿司类,海胆枪鱿鱼寿司,31.7,份,海胆枪鱿鱼寿司
寿司类,海胆热狗TACO,196.3,份,海胆热狗TACO
寿司类,海胆甜桶,194.4,份,海胆甜桶
寿司类,海胆纹甲鱿鱼寿司,67.0,份,海胆纹甲鱿鱼寿司
寿司类,海胆金鲷寿司,71.3,份,海胆金鲷寿司
寿司类,海胆鱿鱼寿司,68.0,份,海胆鱿鱼寿司
寿司类,火炙三文鱼寿司,11.8,份,火炙三文鱼寿司
寿司类,火炙鹅肝伴带子寿司,31.8,份,火炙鹅肝伴带子寿司
寿司类,炙烤三文鱼寿司,23.8,份,炙烤三文鱼寿司
寿司类,炙烤三文鱼皮寿司,5.8,份,炙烤三文鱼皮寿司
寿司类,炙烤三文鱼腩寿司,17.6,份,炙烤三文鱼腩寿司
寿司类,炙烤寿司盛（十贯）（儿童之选）,196.3,份,炙烤寿司盛（十贯）（儿童之选）
寿司类,炙烤左口鱼裙边寿司,47.5,份,炙烤左口鱼裙边寿司
寿司类,炙烤澳洲和牛西冷寿司,97.6,份,炙烤澳洲和牛西冷寿司
寿司类,炙烤牛肉寿司,97.5,份,炙烤牛肉寿司
寿司类,炙烤雪花牛肉寿司,97.4,份,炙烤雪花牛肉寿司
寿司类,炙烤鹅肝寿司,67.4,份,炙烤鹅肝寿司
寿司类,炙烧左口鱼裙边寿司,24.6,份,炙烧左口鱼裙边寿司
寿司类,炙烧鹅肝寿司,24.7,份,炙烧鹅肝寿司
寿司类,照烧牛肉寿司,17.8,份,照烧牛肉寿司
寿司类,牛油果辣味鱼生寿司,17.4,份,牛油果辣味鱼生寿司
寿司类,牡丹虾寿司,128.0,份,牡丹虾寿司
寿司类,玉子寿司,17.9,份,玉子寿司
寿司类,甘损汁,27.5,份,甘损汁
寿司类,甜虾寿司,71.4,份,甜虾寿司
寿司类,盐烤金枪鱼大腹寿司,87.2,份,盐烤金枪鱼大腹寿司
寿司类,矶煮鲍鱼寿司,31.7,份,矶煮鲍鱼寿司
寿司类,章红鱼腩寿司,38.0,份,章红鱼腩寿司
寿司类,紫苏枪鱿鱼寿司,17.7,份,紫苏枪鱿鱼寿司
寿司类,红虾寿司,38.0,份,红虾寿司
寿司类,纹甲鱿鱼寿司,0,份,纹甲鱿鱼寿司
寿司类,芥末八爪鱼寿司,5.9,份,芥末八爪鱼寿司
寿司类,蒲烧鳗鱼寿司,27.7,份,蒲烧鳗鱼寿司
寿司类,车海佬寿司,17.8,份,车海佬寿司
寿司类,软丝鱿鱼寿司,38.0,份,软丝鱿鱼寿司
寿司类,金枪鱼中腹,0,份,金枪鱼中腹
寿司类,金枪鱼中腹寿司,77.5,份,金枪鱼中腹寿司
寿司类,金枪鱼大腹寿司,86.5,份,金枪鱼大腹寿司
寿司类,金枪鱼赤身寿司,58.0,份,金枪鱼赤身寿司
寿司类,雪花牛肉寿司,30.5,份,雪花牛肉寿司
寿司类,雪花牛肉海胆寿司,108.0,份,雪花牛肉海胆寿司
寿司类,青瓜手卷,17.9,份,青瓜手卷
寿司类,飘雪鹅肝金枪鱼寿司,127.3,份,飘雪鹅肝金枪鱼寿司
寿司类,飞鱼籽寿司,17.9,份,飞鱼籽寿司
寿司类,香葱金枪鱼军舰,11.9,份,香葱金枪鱼军舰
寿司类,鰤鱼寿司,11.8,份,鰤鱼寿司
寿司类,鱿鱼寿司,0,份,鱿鱼寿司
寿司类,鹅肝带子,58.0,份,鹅肝带子
寿司类,黄瓜小卷,18.0,份,黄瓜小卷
寿司类,黑松露金雕寿司,17.5,份,黑松露金雕寿司
寿司类,黑松露金鲷寿司,47.8,份,黑松露金鲷寿司
寿司类,黑松露金鲷寿司.,47.6,份,黑松露金鲷寿司.
寿司类,黑松露金鲷寿司1,45.9,份,黑松露金鲷寿司1
炙烤寿司,炙烤鹅肝寿司（单贯）,28.4,份,炙烤鹅肝寿司（单贯）|炙烤鹅肝寿司（单件）|炙烤鹅肝寿司(单贯)|炙烤鹅肝寿司 (单件)|炙烤鹅肝寿司(单件)
炙烤寿司,蒲烧鳗鱼寿司（单贯）,13.1,份,蒲烧鳗鱼寿司（单贯）|蒲烧鳗鱼寿司(单贯)|蒲烧鳗鱼寿司（单件）|蒲烧鳗鱼寿司 (单件)
炙烤寿司,炙烤三文鱼寿司（单件）,9.5,份,炙烤三文鱼寿司（单件）|炙烤三文鱼寿司（单贯）|炙烤三文鱼寿司 (单件)
炙烤寿司,炙烤蒲烧鳗鱼寿司（单贯）,9.8,份,炙烤蒲烧鳗鱼寿司（单贯）|炙烤蒲烧鳗鱼寿司（单件）|炙烤蒲烧鳗鱼寿司(单贯)
炙烤寿司,星鳗鱼寿司（单贯）,16.6,份,星鳗鱼寿司（单件）|星鳗鱼寿司（单贯）
炙烤寿司,炙烤和牛寿司（单件）,41.5,份,炙烤和牛寿司（单件）|炙烤和牛寿司（单贯）
炙烤寿司,炙烤左口鱼裙边寿司（单贯）,16.4,份,炙烤左口鱼裙边寿司（单件）|炙烤左口鱼裙边寿司（单贯）
炙烤寿司,炙烤牛肉寿司（单贯）,55.0,份,炙烤牛肉寿司（单件）|炙烤牛肉寿司（单贯）
炙烤寿司,玉子寿司（单贯）,8.0,份,玉子寿司（单贯）|玉子寿司（单件）
炙烤寿司,玉子烧寿司（单件）,6.9,份,玉子烧寿司（单件）|玉子烧寿司（单贯）
炙烤寿司,皇帝蟹棒寿司（单贯）,6.0,份,皇帝蟹棒寿司（单件）|皇帝蟹棒寿司（单贯）
炙烤寿司,飞鱼籽寿司（单贯）,6.8,份,飞鱼籽寿司（单件）|飞鱼籽寿司（单贯）
炙烤寿司,一尾星鳗寿司（单贯）,38.1,份,一尾星鳗寿司（单贯）
炙烤寿司,星鳗寿司,18.2,份,星鳗寿司
炙烤寿司,海胆雪花牛肉寿司（单贯）,36.1,份,海胆雪花牛肉寿司（单贯）
炙烤寿司,火炙三文鱼寿司（单贯）,13.3,份,火炙三文鱼寿司（单贯）
炙烤寿司,炙烤三文鱼皮寿司（单贯）,5.5,份,炙烤三文鱼皮寿司（单贯）
炙烤寿司,炙烤三文鱼皮寿司（单贯）-标准,3.7,份,炙烤三文鱼皮寿司（单贯）-标准
炙烤寿司,炙烤寿司盛（10贯）,153.7,份,炙烤寿司盛（10贯）
炙烤寿司,炙烤蒲烧鳗鱼寿司,9.1,份,炙烤蒲烧鳗鱼寿司
炙烤寿司,烤鹅肝寿司（单件）,22.6,份,烤鹅肝寿司（单件）
炙烤寿司,照烧牛肉寿司（单贯）,27.4,份,照烧牛肉寿司（单贯）
炙烤寿司,玉子手握寿司（单贯）,7.2,份,玉子手握寿司（单贯）
炙烤寿司,雪花牛肉寿司（单贯）,24.3,份,雪花牛肉寿司（单贯）
手握寿司,omakase级海胆寿司（单件）,43.9,份,omakase级海胆寿司（单件）|omakase级海胆寿司（单贯）
手握寿司,omakase级金枪鱼大腹寿司（单件）,36.9,份,omakase级金枪鱼大腹寿司（单件）|omakase级金枪鱼大腹寿司（单贯）
手握寿司,omakase级金枪鱼赤身寿司（单件）,21.2,份,omakase级金枪鱼赤身寿司（单件）|omakase级金枪鱼赤身寿司（单贯）
手握寿司,omakase级黑松露金鲷寿司（单件）,16.2,份,omakase级黑松露金鲷寿司（单件）|omakase级黑松露金鲷寿司（单贯）
手握寿司,omakase级三文鱼寿司（单件）,9.5,份,omakase级三文鱼寿司（单件）
手握寿司,omakase级三文鱼籽寿司（单件）,16.0,份,omakase级三文鱼籽寿司（单件）
手握寿司,omakase级三文鱼鱼腩寿司（单件）,9.6,份,omakase级三文鱼鱼腩寿司（单件）
手握寿司,omakase级半熟虎虾寿司（单件）,13.0,份,omakase级半熟虎虾寿司（单件）
手握寿司,omakase级帆立贝寿司（单件）,15.0,份,omakase级帆立贝寿司（单件）
手握寿司,omakase级牡丹虾寿司（单件）,47.5,份,omakase级牡丹虾寿司（单件）
手握寿司,omakase级甜虾寿司（单件）,23.2,份,omakase级甜虾寿司（单件）
手握寿司,omakase级章红鱼寿司（单件）,7.8,份,omakase级章红鱼寿司（单件）
手握寿司,omakase级章红鱼腹寿司（单件）,11.0,份,omakase级章红鱼腹寿司（单件）
手握寿司,omakase级紫苏纹甲鱿鱼寿司（单件）,7.7,份,omakase级紫苏纹甲鱿鱼寿司（单件）
手握寿司,omakase级蓝鳍金枪鱼大腹寿司（单件）,39.1,份,omakase级蓝鳍金枪鱼大腹寿司（单件）
手握寿司,omakase级赤红虾寿司（单件）,20.3,份,omakase级赤红虾寿司（单件）
手握寿司,omakase级金枪鱼中腹寿司（单件）,26.5,份,omakase级金枪鱼中腹寿司（单件）
手握寿司,omakase级飘雪鹅肝金枪鱼寿司（单件）,44.7,份,omakase级飘雪鹅肝金枪鱼寿司（单件）
手握寿司,厚切三文鱼寿司（单贯）,16.3,份,厚切三文鱼寿司（单贯）
手握寿司,手握鰤鱼寿司（单贯）,10.2,份,手握鰤鱼寿司（单贯）
高品质·手握寿司,Omakase级·金枪鱼中腹寿司（单贯）,39.1,份,Omakase级·金枪鱼中腹寿司（单贯）|Qmakase级·金枪鱼中腹寿司（单贯）|omakase级·金枪鱼中腹寿司（单贯）|Omakase 级·金枪鱼中腹寿司（单贯）
高品质·手握寿司,Omakase级·黑松露金鲷寿司（单贯）,21.3,份,Omakase级·黑松露金鲷寿司（单贯）|Qmakase级·黑松露金鲷寿司（单贯）|omakase级·黑松露金鲷寿司（单贯）|Omakase 级·黑松露金鲷寿司（单贯）
高品质·手握寿司,Omakase级·三文鱼寿司（单贯）,10.6,份,Omakase级·三文鱼寿司（单贯）|Qmakase级·三文鱼寿司（单贯）|omakase级·三文鱼寿司（单贯）
高品质·手握寿司,Omakase级·三文鱼籽寿司（单贯）,21.1,份,Omakase级·三文鱼籽寿司（单贯）|Qmakase级·三文鱼籽寿司（单贯）|omakase级·三文鱼籽寿司（单贯）
高品质·手握寿司,Omakase级·半熟虎虾寿司（单贯）,15.0,份,Omakase级·半熟虎虾寿司（单贯）|Qmakase级·半熟虎虾寿司（单贯）|omakase级·半熟虎虾寿司（单贯）
高品质·手握寿司,Omakase级·帆立贝寿司（单贯）,21.6,份,Omakase级·帆立贝寿司（单贯）|Qmakase级·帆立贝寿司（单贯）|omakase级·帆立贝寿司（单贯）
高品质·手握寿司,Omakase级·海胆寿司（单贯）,53.9,份,Omakase级·海胆寿司（单贯）|omakase级·海胆寿司（单贯）|Qmakase级·海胆寿司（单贯）
高品质·手握寿司,Omakase级·牡丹虾寿司（单贯）,66.4,份,Omakase级·牡丹虾寿司（单贯）|Qmakase级·牡丹虾寿司（单贯）|omakase级·牡丹虾寿司（单贯）
