分类,菜名,价格,单位,POS写法(多个用|分隔)
招牌煙燻,招牌煙燻鵝(半隻),289,份,招牌煙燻鵝(半隻)|招牌煙燻鵝半隻|招牌燻鵝半隻
招牌煙燻,招牌煙燻鵝前半段(大份),159,份,招牌煙燻鵝前半段(大份)|煙燻鵝前半段(大份)|招牌燻鵝前半段(大份)
招牌煙燻,招牌煙燻鵝前半段(小份),89,份,招牌煙燻鵝前半段(小份)|煙燻鵝前半段(小份)|招牌燻鵝前半段(小份)
招牌煙燻,招牌煙燻鵝後半段(大份),159,份,招牌煙燻鵝後半段(大份)|煙燻鵝後半段(大份)|招牌燻鵝後半段(大份)
招牌煙燻,招牌煙燻鵝後半段(小份),89,份,招牌煙燻鵝後半段(小份)|煙燻鵝後半段(小份)|招牌燻鵝後半段(小份)
白滷水鵝,白滷水鵝(半隻),289,份,白滷水鵝(半隻)|白滷水鵝肉半隻|白切鵝半隻
白滷水鵝,白滷水鵝前半段(大份),159,份,白滷水鵝前半段(大份)|白滷水鵝肉前半段(大份)|白切鵝前半段(大份)
白滷水鵝,白滷水鵝前半段(小份),89,份,白滷水鵝前半段(小份)|白滷水鵝肉前半段(小份)|白切鵝前半段(小份)
白滷水鵝,白滷水鵝後半段(大份),159,份,白滷水鵝後半段(大份)|白滷水鵝肉後半段(大份)|白切鵝後半段(大份)
白滷水鵝,白滷水鵝後半段(小份),89,份,白滷水鵝後半段(小份)|白滷水鵝肉後半段(小份)|白切鵝後半段(小份)
滷水,滷水牛展片,69,份,滷水牛展片
滷水,滷水鵝翼(2隻),39,份,滷水鵝翼(2隻)
滷水,滷水鵝頭(帶脖頸),49,份,滷水鵝頭(帶脖頸)
滷水,滷水鵝尾椎,29,份,滷水鵝尾椎
滷水,滷水鵝腳(4隻),49,份,滷水鵝腳(4隻)
麻辣,麻辣牛展片,69,份,麻辣牛展片
麻辣,麻辣鵝翼(2隻),39,份,麻辣鵝翼(2隻)
麻辣,麻辣鵝頭(帶脖頸),49,份,麻辣鵝頭(帶脖頸)
麻辣,麻辣鵝尾椎,29,份,麻辣鵝尾椎
麻辣,麻辣鵝腳(4隻),49,份,麻辣鵝腳(4隻)
滷味,滷水拼盤(煙熏鵝翅、煙熏鵝頭、煙熏鵝肉100g),119,份,滷水拼盤(煙熏鵝翅、煙熏鵝頭、煙熏鵝肉100g)
滷味,滷味拼盤(滷鵝胗、滷鵝肝、滷鵝心、滷鵝腸各50g、滷雞蛋1個),89,份,滷味拼盤(滷鵝胗、滷鵝肝、滷鵝心、滷鵝腸各50g、滷雞蛋1個)|滷味拼盤（鹵鵝胗，鹵鵝肝，鹵鵝心，鹵鵝腸各50g）
滷味,滷鵝粉肝(150g),189,份,滷鵝粉肝(150g)|滷味粉肝
滷味,滷鵝腸(100g),69,份,滷鵝腸(100g)|滷鵝腸
滷味,滷鵝心(120g),69,份,滷鵝心(120g)|滷鵝心|滷鵝心（129g）
滷味,滷鵝胗(120g),69,份,滷鵝胗(120g)|滷鵝胗|滷鵝胗（129g）
滷味,滷鵝肝(120g),129,份,滷鵝肝(120g)|滷鵝肝
15元滷味精選小食,滷鵝心(25g),15,份,滷鵝心(25g)|滷鵝心 (25g)
15元滷味精選小食,滷鵝腸(25g),15,份,滷鵝腸(25g)|滷鵝腸 (25g)
15元滷味精選小食,滷鵝胗(25g),15,份,滷鵝胗(25g)|滷鵝胗 (25g)
15元滷味精選小食,滷鵝肝(25g),15,份,滷鵝肝(25g)|滷鵝肝 (25g)
滷菜類,麻辣臭豆腐,89,份,麻辣臭豆腐
滷菜類,韭菜麻辣血,69,份,韭菜麻辣血
滷菜類,桂竹筍,49,份,桂竹筍
滷菜類,滷白菜,49,份,滷白菜
滷菜類,酸菜,29,份,酸菜
涼菜,花雕醉香鮑魚,59,份,花雕醉香鮑魚
涼菜,肉鬆皮蛋豆腐,49,份,肉鬆皮蛋豆腐
涼菜,蜂蜜柚子白涼瓜,49,份,蜂蜜柚子白涼瓜
涼菜,櫻花蝦麻醬A菜,39,份,櫻花蝦麻醬A菜
涼菜,臺灣水果白玉栗米,39,份,臺灣水果白玉栗米|臺灣水果白玉粟米|台灣水果白玉粟米
川湯類,滷肉時蔬,59,份,滷肉時蔬
川湯類,季節時蔬,49,份,季節時蔬
川湯類,鵝肉丸湯時蔬,48,份,鵝肉丸湯時蔬
川湯類,墨魚丸湯時蔬,48,份,墨魚丸湯時蔬
川湯類,豬肉餅湯時蔬,38,份,豬肉餅湯時蔬
湯類,藥膳鵝掌燉湯,49,份,藥膳鵝掌燉湯
湯類,蝦皮紫菜鵝丸湯,39,份,蝦皮紫菜鵝丸湯
湯類,山藥鵝骨湯,29,份,山藥鵝骨湯
寶島風味,臺灣一品煲(鵝腸、麻辣血、臭豆腐、桂竹筍、韭菜),139,份,臺灣一品煲(鵝腸、麻辣血、臭豆腐、桂竹筍、韭菜)|台灣一品煲
寶島風味,藥膳蝦,129,份,藥膳蝦|藥膳蝦(需時20分鐘)
香腸·炸物類,臺灣香腸三拼(杏鮑菇、檸檬、辣味),89,份,臺灣香腸三拼(杏鮑菇、檸檬、辣味)|台灣香腸三拼
香腸·炸物類,杏鮑菇香腸,32,份,杏鮑菇香腸
香腸·炸物類,檸檬香腸,32,份,檸檬香腸
香腸·炸物類,辣味香腸,32,份,辣味香腸
香腸·炸物類,臺式炸豬排,59,份,臺式炸豬排
香腸·炸物類,臺式炸雞排,59,份,臺式炸雞排
香腸·炸物類,鵝油鹽酥雞,49,份,鵝油鹽酥雞|鹽酥雞
香腸·炸物類,鵝油鹽酥蚵仔,49,份,鵝油鹽酥蚵仔|鹽酥蚵仔
香腸·炸物類,炸地瓜薯條,32,份,炸地瓜薯條
香腸·炸物類,炸花枝丸(4粒),32,份,炸花枝丸(4粒)
香腸·炸物類,炸雙色地瓜QQ球(6粒),32,份,炸雙色地瓜QQ球(6粒)
滷肉飯及米飯,黑松露鵝油滷肉飯(小份),69,份,黑松露鵝油滷肉飯(小份)
滷肉飯及米飯,鵝油滷肉飯(小份),39,份,鵝油滷肉飯(小份)|滷肉飯
滷肉飯及米飯,鵝油飯,29,份,鵝油飯|鵝油拌飯
滷肉飯及米飯,白飯,19,份,白飯
麵類,XO醬麵線,49,份,XO醬麵線|XO醬拌麵線
麵類,辣拌意麵,49,份,辣拌意麵
麵類,鵝湯冬粉,39,份,鵝湯冬粉|湯冬粉
麵類,鵝湯米粉,39,份,鵝湯米粉|湯米粉
麵類,鵝湯意麵,39,份,鵝湯意麵|湯意麵
麵類,鵝湯麵線,39,份,鵝湯麵線|湯麵線
冷泡茶系列,桂花烏龍(1L),29,支,桂花烏龍(1L)
冷泡茶系列,蜜香紅茶(1L),29,支,蜜香紅茶(1L)
冷泡茶系列,茉莉綠茶(1L),29,支,茉莉綠茶(1L)
冷泡茶系列,白桃四季春茶(1L),29,支,白桃四季春茶(1L)|白桃四季春(1L)
飲品,金牌台灣啤酒,29,支,金牌台灣啤酒|金牌台灣啤酒(330ml)
飲品,蘋果西打(罐裝),19,罐,蘋果西打(罐裝)|蘋菓西打
飲品,黑松沙士(罐裝),19,罐,黑松沙士(罐裝)|鐵罐黑松沙士
飲品,一本-桂花烏梅汁(600ml),19,支,一本-桂花烏梅汁(600ml)|一本 桂花烏梅汁
飲品,猛將-木瓜牛奶(500ml),19,支,猛將-木瓜牛奶(500ml)|猛將 木瓜牛奶
飲品,猛將-芋頭牛奶(鐵罐500ml),19,罐,猛將-芋頭牛奶(鐵罐500ml)|猛將 芋頭牛奶
飲品,統一-麥香紅茶,16,支,統一-麥香紅茶
飲品,光泉-茉莉茶園(蜜茶),16,支,光泉-茉莉茶園(蜜茶)
飲品,光泉-正莊冬瓜茶(300ml),12,支,光泉-正莊冬瓜茶(300ml)|凍冬瓜茶|熱冬瓜茶
單人套餐,黑松露鵝油滷肉配雙拼鵝飯套餐,109,份,黑松露鵝油滷肉配雙拼鵝飯套餐
單人套餐,黑松露鵝油滷肉配煙燻鵝飯套餐,99,份,黑松露鵝油滷肉配煙燻鵝飯套餐
單人套餐,黑松露鵝油滷肉配白滷水鵝飯套餐,99,份,黑松露鵝油滷肉配白滷水鵝飯套餐
單人套餐,鵝油滷肉配雙拼鵝飯套餐,89,份,鵝油滷肉配雙拼鵝飯套餐
單人套餐,鵝肉雙拼飯套餐,89,份,鵝肉雙拼飯套餐
單人套餐,鵝油滷肉配煙燻鵝飯套餐,79,份,鵝油滷肉配煙燻鵝飯套餐
單人套餐,鵝油滷肉配白滷水鵝飯套餐,79,份,鵝油滷肉配白滷水鵝飯套餐
單人套餐,招牌煙燻鵝肉飯套餐,79,份,招牌煙燻鵝肉飯套餐
單人套餐,白滷水鵝肉飯套餐,79,份,白滷水鵝肉飯套餐
單人套餐,黑松露鵝油滷肉飯套餐,79,份,黑松露鵝油滷肉飯套餐
單人套餐,鵝油臺式炸豬排/雞排飯套餐,79,份,鵝油臺式炸豬排/雞排飯套餐
單人套餐,鹽酥雞滷肉飯,79,份,鹽酥雞滷肉飯
單人套餐,鵝油滷肉飯套餐,59,份,鵝油滷肉飯套餐
